topic,rank,word,weight
0,1,queen,50.166910696275515
0,2,turtle,28.166667591546496
0,3,caterpillar,26.166785039823957
0,4,mock,26.16666208989655
0,5,duchess,22.166741298145013
0,6,gryphon,20.16660720721323
0,7,day,15.166747575419178
0,8,tone,15.166702330241238
0,9,king,15.166477622150126
0,10,came,14.166682395531526
0,11,quite,14.166600493334085
0,12,voice,13.166592797620732
1,1,hatter,33.166836284750815
1,2,gryphon,31.16685050716402
1,3,turtle,29.166825332991156
1,4,mock,28.166822178793684
1,5,dormouse,27.166719787531836
1,6,march,22.166784961982728
1,7,hare,21.166785271546086
1,8,replied,14.166859399314228
1,9,won,13.166861768176844
1,10,soup,12.1667534506852
1,11,tea,12.166752244592251
1,12,beautiful,12.16674834499838
2,1,rabbit,15.167049915442039
2,2,ll,12.166924425923606
2,3,sure,9.166867655713364
2,4,heard,9.166849328199556
2,5,came,8.166836074600402
2,6,oh,8.166824847868426
2,7,thing,8.166808401613002
2,8,quite,8.16680363153622
2,9,room,7.166860799778234
2,10,door,7.166835679877904
2,11,great,7.1667973079990706
2,12,moment,7.1667847869306955
3,1,king,48.16685564724031
3,2,hatter,21.166695223826974
3,3,jury,20.16673362556179
3,4,queen,19.166760072808437
3,5,court,18.166666634589507
3,6,rabbit,16.166831742109053
3,7,white,15.166905876880648
3,8,dormouse,13.166613496033284
3,9,voice,12.166714227513205
3,10,just,10.166700392782777
3,11,added,9.166800254865853
3,12,read,8.166771152455253
4,1,cat,23.953028860368057
4,2,door,18.165789709704576
4,3,duchess,16.165935349561522
4,4,just,14.164733762421642
4,5,quite,13.823786556492683
4,6,ll,13.620819779180117
4,7,right,13.165243640730749
4,8,rabbit,13.16450519610724
4,9,oh,13.142049210815744
4,10,large,12.334476373621808
4,11,baby,12.166696970818238
4,12,mad,12.166692548084267
5,1,mouse,40.04209552664976
5,2,ll,15.712727355085464
5,3,oh,13.191541693130107
5,4,dear,13.179074130769681
5,5,dodo,13.166624710622441
5,6,soon,9.743216989733876
5,7,thing,9.263740026741209
5,8,let,8.741337072963407
5,9,long,8.607632201457923
5,10,cried,8.533943832525775
5,11,quite,8.50962426104101
5,12,feet,8.1669109800907
